5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
3,7,15,22,35,25,45,53,52,29,21,28,23,13,18,6,2,2,1
0.0075,0.0175,0.0375,0.055,0.0875,0.0625,0.1125,0.1325,0.13,0.0725,0.0525,0.07,0.0575,0.0325,0.045,0.015,0.005,0.005,0.0025
