0,1,2,3,4,5,6,7,8,9,10,11
25.2,27.6,29.4,31.6,33.2,35.4,37.1,39.1,42.0,49.1,66.4,83.4
10.27,10.88,11.29,11.71,12.01,12.20,12.61,12.91,13.32,14.29,16.54,18.68
